Xi	Hora de Llamada	Duracion de la Llamada	
1	6.01.35	0.01.25	
2	6.13.11	0.03.17	
3	6.25.09	0.08.09	
4	6.34.58	0.05.39	
5	6.44.13	0.05.53	
6	6.51.49	0.08.29	
7	7.03.13	0.16.34	
8	7.23.54	0.08.42	
9	7.35.04	0.20.06	
10	7.56.31	0.07.47	
11	8.08.19	0.04.08	
12	8.45.05	0.09.12	
13	8.54.38	0.06.46	
14	9.05.56	0.07.08	
15	9.14.33	0.11.26	
16	9.26.44	0.07.58	
17	9.36.50	0.13.45	
18	9.50.07	0.11.41	
19	10.01.37	0.10.23	
20	10.16.13	0.12.59	
21	10.33.00	0.18.12	
22	11.02.37	0.06.48	
23	11.18.09	0.13.11	
24	11.37.38	0.08.21	
25	11.54.08	0.13.23	
26	12.14.19	0.09.17	
27	12.25.06	0.06.32	
28	12.34.48	0.05.11	
29	12.42.26	0.15.38	
30	12.59.33	0.07.45	
31	13.10.02	0.12.08	
32	13.23.36	0.09.24	
33	13.35.41	0.14.03	
34	13.52.31	0.11.09	
35	14.05.21	0.08.22	
36	14.13.43	0.13.55	
37	14.28.07	0.17.10	
38	14.45.01	0.04.27	
39	14.51.16	0.05.12	
40	14.57.11	0.04.02	
41	15.02.13	0.12.07	
42	15.16.30	0.06.00	
43	15.26.18	0.12.21	
44	15.42.30	0.04.06	
45	15.47.10	0.17.28	
46	16.06.57	0.04.40	
47	16.14.47	0.05.28	
48	16.21.51	0.13.10	
49	16.36.52	0.22.19	
50	16.59.14	0.02.43	
51	17.03.12	0.15.27	
52	17.23.39	0.06.07	
53	18.00.42	0.08.03	
54	18.11.22	0.08.18	
55	18.29.41	0.11.42	
56	18.44.24	0.04.29	
57	18.49.25	0.11.23	
58	19.01.36	0.05.29	
59	19.07.25	0.09.48	
60	19.24.29	0.10.42	
61	19.47.25	0.11.47	
62	20.00.47	0.02.06	
